oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
961077;Empresa 3224;05/05/2022;09/05/2022;;02/06/2022;58699.82;Fechada e Perdida;NV - 0022460;Uso e consumo;;ELETRONICOS (TVs);Cliente - Desistência da compra;Cotação;;Faturado;"Smart TV 55"" UHD Samsung 4k 55AU7700 Processador Crystal 4k Tela Sem L...";3069509649;18;Vendedor E
961068;Empresa 3225;05/05/2022;09/05/2022;;23/05/2022;104460;Fechada e Perdida;NV - 0022459;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;;;0;;Vendedor F
961086;Empresa 715;05/05/2022;09/05/2022;24/05/2022;24/05/2022;664.05;Fechada e Perdida;NV - 0022462;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;4342102701;1;Vendedor K
961112;Empresa 3226;05/05/2022;09/05/2022;11/05/2022;11/05/2022;2949;Projeto em andamento;NV - 0022470;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy Note 20 256GB 5G Wi-Fi Tela 6.7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Mystic Gray;4579621331;1;Vendedor K
962062;Empresa 3227;09/05/2022;09/05/2022;;10/05/2022;29399.7;Fechada e Perdida;NV - 0022565;Uso e consumo;;ELETRONICOS (TVs);Cliente - Desistência da compra;Cotação;;Boleto;"Monitor LED 23,8"" Gamer LG 24ML600M IPS 1ms Full HD FreeSync";204667843;30;Vendedor K
962121;Empresa 3228;09/05/2022;09/05/2022;16/05/2022;16/05/2022;36940.5;Fechada e Perdida;NV - 0022590;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";1614132374;10;Vendedor S
962056;Empresa 3229;09/05/2022;09/05/2022;16/05/2022;16/05/2022;237104;Fechada e Perdida;NV - 0022563;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Computador Intel Core i7-2600 ram 16GB ssd 240GB Monitor 18,5'' Windows 10;1202460030;58;Vendedor S
961456;Empresa 4;06/05/2022;09/05/2022;;31/05/2022;2659.96;Fechada e Perdida;NV - 0022503;Uso e consumo;;MÓVEIS - ESCRITÓRIO;Cliente - Preço;Cotação;;Faturado;Cadeira de Escritório Esteirinha Classic Preta - Office Basics;3121956658;3;Vendedor C
961471;Empresa 3230;06/05/2022;09/05/2022;27/05/2022;27/05/2022;4499.99;Projeto em andamento;NV - 0022508;Uso e consumo;;CONSOLES & GAMES;;Cotação;;Faturado;Console Playstation 5 - PS5;1838061077;1;Vendedor C
961459;Empresa 2438;06/05/2022;09/05/2022;;31/05/2022;4974.2;Fechada e Perdida;NV - 0022505;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Boleto;Monitor Dell de 23.8 S2421HN;4937119781;4;Vendedor C
