Oportunidade;Empresa;Data_criacao;Data_envio_proposta;Data_fechada;Data_última_modificação;Valor;Fase_Comercial;Nova_Venda;Finalidade;Origem;Departamento;Motivo_perdido;Tipo_venda;ERP;Pagamento;Produto;SKU;Quantidade;Vendedor
991419;EMPRESA 5445;08/02/2023;08/02/2023;08/02/2023;08/02/2023;1443,71;Fechada e Ganha;NV - 0031968;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;;Cotação;;Boleto;Fatiador Cortador Frios Elétrico Lâmina Inox 170mm Ajuste Espessura Bivolt Arbel 178 mc 4.0 Branco;3752675975;1;VENDEDOR S
990950;EMPRESA 569;03/02/2023;08/02/2023;02/03/2023;02/03/2023;899,99;Fechada e Perdida;NV - 0031878;Uso e consumo;Caixa Off;INFORMÁTICA E ACESSÓRIOS;B2W - Limite de Crédito;Cotação;;Faturado;"Monitor 23""";;;VENDEDOR F
991444;EMPRESA 5479;08/02/2023;08/02/2023;08/02/2023;15/03/2023;3030,2;Fechada e Perdida;NV - 0031971;Uso e consumo;Caixa Off;ELETRODOMESTICOS;Cliente - Desistência da compra;Cotação;;Boleto;Freezer Horizontal Electrolux 400 Litros 2 Portas Branco H440 – 220 Volts;4156276169;1;VENDEDOR S
991153;EMPRESA 3268;06/02/2023;08/02/2023;28/02/2023;28/02/2023;51764,8;Fechada e Perdida;NV - 0031913;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;Smartphones e fones jbl;;;VENDEDOR F
991303;EMPRESA 5477;07/02/2023;08/02/2023;16/02/2023;16/02/2023;825,98;Fechada e Perdida;NV - 0031949;Uso e consumo;Caixa Off;ELETRODOMESTICOS;Cliente - Desistência da compra;Cotação;;Faturado;Microondas;;;VENDEDOR F
991300;EMPRESA 129;07/02/2023;08/02/2023;28/02/2023;28/02/2023;6999,99;Fechada e Perdida;NV - 0031948;Uso e consumo;Caixa Off;PCS;B2W - Estoque (Falta de produto);Cotação;;Faturado;Notebook;;;VENDEDOR F
991170;EMPRESA 5480;06/02/2023;08/02/2023;09/02/2023;09/02/2023;4663,97;Fechada e Perdida;NV - 0031924;Uso e consumo;Caixa Off;ELETRONICOS (TVs);B2W - Estoque (Falta de produto);Cotação;;Faturado;Smart TV;;;VENDEDOR F
991407;EMPRESA 5190;08/02/2023;08/02/2023;24/02/2023;24/02/2023;124318,7;Fechada e Perdida;NV - 0031962;Uso e consumo;Caixa On;PCS;Cliente - Desistência da compra;Cotação;;Boleto;"Notebook Asus Intel Core i7-1165G7 8GB 256GB SSD W11 15,6"" Preto X513E";;;VENDEDOR S
991369;EMPRESA 5461;08/02/2023;08/02/2023;02/03/2023;02/03/2023;989,94;Fechada e Perdida;NV - 0031961;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;B2W - Limite de Crédito;Cotação;;Faturado;Cafeteira;;;VENDEDOR F
991175;EMPRESA 4817;06/02/2023;08/02/2023;;06/04/2023;17000;Fechada e Perdida;NV - 0031926;Uso e consumo;Caixa Off;TELEFONIA;B2W - Limite de Crédito;Cotação;;;a53;;;VENDEDOR C
991106;EMPRESA 5481;06/02/2023;08/02/2023;28/02/2023;28/02/2023;2199,99;Fechada e Perdida;NV - 0031896;Uso e consumo;Caixa Off;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Notebook;;;VENDEDOR F
990856;EMPRESA 5482;03/02/2023;08/02/2023;28/02/2023;28/02/2023;37162,67;Fechada e Perdida;NV - 0031844;Uso e consumo;Caixa Off;UTILIDADES DOMESTICAS;Cliente - Desistência da compra;Cotação;;Faturado;Copos descartáveis e papel higiênico;;;VENDEDOR F
991671;EMPRESA 3824;10/02/2023;08/02/2023;10/02/2023;10/02/2023;319,82;Fechada e Perdida;NV - 0032029;;Caixa Off;ALIMENTOS;B2W - Estoque (Falta de produto);Catálogo;Nimbi;Faturado;;;;VENDEDOR O
